year,week,loc,state,country,loc_type,number,event
1980,13,NEW JERSEY,NJ,US,STATE,20,CASES
1980,13,PENNSYLVANIA,PA,US,STATE,56,CASES
1980,13,INDIANA,IN,US,STATE,2,CASES
1980,13,ILLINOIS,IL,US,STATE,21,CASES
1980,13,MICHIGAN,MI,US,STATE,25,CASES
1980,13,WISCONSIN,WI,US,STATE,47,CASES
1980,13,MINNESOTA,MN,US,STATE,53,CASES
1980,13,NEBRASKA,NE,US,STATE,12,CASES
1980,13,KANSAS,KS,US,STATE,4,CASES
1980,13,VIRGINIA,VA,US,STATE,19,CASES
1980,13,GEORGIA,GA,US,STATE,17,CASES
1980,13,FLORIDA,FL,US,STATE,29,CASES
1980,13,KENTUCKY,KY,US,STATE,1,CASES
1980,13,TENNESSEE,TN,US,STATE,2,CASES
1980,13,MISSISSIPPI,MS,US,STATE,5,CASES
1980,13,LOUISIANA,LA,US,STATE,4,CASES
1980,13,OKLAHOMA,OK,US,STATE,24,CASES
1980,13,TEXAS,TX,US,STATE,10,CASES
1980,13,ARIZONA,AZ,US,STATE,4,CASES
1980,13,WASHINGTON,WA,US,STATE,40,CASES
1980,13,CALIFORNIA,CA,US,STATE,20,CASES
1980,13,PUERTO RICO,PR,US,STATE,7,CASES
1980,14,MAINE,ME,US,STATE,15,CASES
1980,14,NEW HAMPSHIRE,NH,US,STATE,14,CASES
1980,14,VERMONT,VT,US,STATE,16,CASES
1980,14,MASSACHUSETTS,MA,US,STATE,3,CASES
1980,14,CONNECTICUT,CT,US,STATE,1,CASES
1980,14,UPSTATE NEW YORK,NY,US,STATE,39,CASES
1980,14,NEW YORK CITY,NY,US,STATE,60,CASES
1980,14,NEW JERSEY,NJ,US,STATE,20,CASES
1980,14,PENNSYLVANIA,PA,US,STATE,15,CASES
1980,14,OHIO,OH,US,STATE,1,CASES
1980,14,INDIANA,IN,US,STATE,10,CASES
1980,14,ILLINOIS,IL,US,STATE,34,CASES
1980,14,MICHIGAN,MI,US,STATE,36,CASES
1980,14,WISCONSIN,WI,US,STATE,60,CASES
1980,14,MINNESOTA,MN,US,STATE,47,CASES
1980,14,MISSOURI,MO,US,STATE,11,CASES
1980,14,MARYLAND,MD,US,STATE,2,CASES
1980,14,VIRGINIA,VA,US,STATE,7,CASES
1980,14,WEST VIRGINIA,WV,US,STATE,1,CASES
1980,14,SOUTH CAROLINA,SC,US,STATE,15,CASES
1980,14,GEORGIA,GA,US,STATE,49,CASES
1980,14,FLORIDA,FL,US,STATE,29,CASES
1980,14,OKLAHOMA,OK,US,STATE,35,CASES
1980,14,TEXAS,TX,US,STATE,9,CASES
1980,14,COLORADO,CO,US,STATE,1,CASES
1980,14,ARIZONA,AZ,US,STATE,12,CASES
1980,14,UTAH,UT,US,STATE,3,CASES
1980,14,WASHINGTON,WA,US,STATE,8,CASES
1980,14,CALIFORNIA,CA,US,STATE,25,CASES
1980,14,PUERTO RICO,PR,US,STATE,9,CASES
1980,15,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1980,15,VERMONT,VT,US,STATE,16,CASES
1980,15,UPSTATE NEW YORK,NY,US,STATE,43,CASES
1980,15,NEW YORK CITY,NY,US,STATE,37,CASES
1980,15,NEW JERSEY,NJ,US,STATE,36,CASES
1980,15,PENNSYLVANIA,PA,US,STATE,78,CASES
1980,15,OHIO,OH,US,STATE,56,CASES
1980,15,INDIANA,IN,US,STATE,14,CASES
1980,15,ILLINOIS,IL,US,STATE,16,CASES
1980,15,MICHIGAN,MI,US,STATE,14,CASES
1980,15,WISCONSIN,WI,US,STATE,89,CASES
